,DBN,SAT.Critical.Reading.Avg..Score,SAT.Math.Avg..Score,SAT.Writing.Avg..Score,Pct.of.cohort.achieving.APM,pct.grad,fit.cluster
285,10X433,370,371,365,18.30%,0.7,2
287,10X434,404,418,400,2.70%,0.675675676,2
290,10X437,355,350,372,2.90%,0.826086957,2
291,10X438,367,385,367,4.70%,0.457364341,2
293,10X439,366,364,352,3.20%,0.452631579,2
295,10X440,419,426,410,9.30%,0.503838772,2
298,10X442,423,420,427,3.50%,0.705882353,1
299,10X445,632,688,649,98.80%,0.994505495,3
301,10X475,351,362,339,1.10%,0.350923483,2
303,10X477,414,435,414,22.30%,0.79787234,1
305,10X546,348,362,354,4.80%,0.533333333,2
307,10X549,372,379,364,9.20%,0.608333333,2
310,10X660,362,382,356,1.40%,0.301136364,2
311,10X696,636,648,636,96.40%,0.976190476,3
313,11X249,370,381,382,10.30%,0.948275862,2
315,11X253,400,357,390,2.60%,0.560344828,2
317,11X265,377,391,367,5.60%,0.6,2
319,11X270,386,394,361,2.40%,0.494117647,2
321,11X275,381,376,354,10.90%,0.751937984,2
323,11X288,444,471,433,35.00%,0.805825243,1
326,11X290,387,365,383,8.70%,0.695652174,2
327,11X299,387,391,391,6.00%,0.581196581,2
329,11X415,367,361,353,2.50%,0.397984887,2
332,11X418,419,433,416,10.20%,0.525423729,2
334,11X455,386,397,368,5.20%,0.57605178,2
336,11X513,332,381,335,19.60%,0.482142857,2
338,11X514,377,372,363,0.00%,0.382352941,2
340,11X541,372,382,375,5.80%,0.563106796,2
341,11X542,431,438,419,20.80%,0.91509434,1
344,11X544,383,378,365,23.40%,0.598130841,2
345,11X545,388,393,382,3.70%,0.777777778,2
348,12X248,347,367,341,3.70%,0.679012346,2
349,12X251,381,381,360,2.80%,0.611111111,2
353,12X267,408,432,411,15.00%,0.775,1
355,12X271,366,378,358,5.60%,0.7,2
357,12X278,390,401,364,7.10%,0.428571429,2
361,12X480,398,385,398,3.20%,0.183544304,2
363,12X550,304,323,312,3.10%,0.525773196,2
365,12X690,375,387,376,1.70%,0.333333333,2
368,12X692,332,357,349,5.60%,0.38317757,2
369,13K265,352,349,373,11.10%,0.777777778,2
372,13K350,360,364,356,4.60%,0.494252874,2
374,13K412,375,355,384,6.70%,0.576923077,2
376,13K419,399,417,395,14.10%,0.717948718,2
379,13K430,587,659,587,90.60%,0.928063943,3
381,13K483,400,417,389,23.90%,0.863636364,1
382,13K499,384,364,368,2.30%,0.66091954,2
384,13K509,400,390,403,1.80%,0.473684211,2
390,13K595,438,443,431,40.00%,0.966666667,1
392,13K605,406,391,392,2.70%,0.534246575,2
396,13K670,471,472,448,45.70%,0.901234568,1
399,14K071,365,361,359,5.10%,0.404040404,2
403,14K404,387,357,381,5.20%,0.818181818,2
405,14K449,586,584,570,91.40%,0.914285714,3
407,14K454,407,386,396,3.50%,0.511627907,2
408,14K474,364,379,371,5.10%,0.553488372,2
411,14K477,413,396,395,7.50%,0.647398844,2
412,14K478,398,421,396,17.30%,0.799065421,1
414,14K488,367,373,350,6.20%,0.716049383,2
416,14K558,363,385,364,3.90%,0.87254902,2
418,14K561,397,410,380,11.70%,0.873873874,1
421,14K586,371,377,355,3.30%,0.604395604,2
422,14K610,367,376,350,0.40%,0.493775934,2
425,15K462,398,411,394,15.50%,0.718446602,2
427,15K463,397,391,381,5.00%,0.564356436,2
429,15K464,379,416,380,4.80%,0.535714286,2
431,15K497,405,415,392,11.50%,0.551724138,2
433,15K519,398,402,385,3.50%,0.534722222,2
440,15K530,368,365,368,4.20%,0.56302521,2
441,15K656,426,421,411,12.50%,0.8125,1
446,16K393,355,355,358,4.80%,0.492063492,2
449,16K455,365,370,362,3.10%,0.380208333,2
450,16K498,362,372,358,3.40%,0.717948718,2
453,17K382,396,374,369,6.20%,0.543209877,2
455,17K408,352,342,351,6.70%,0.72,2
458,17K489,394,364,334,0.00%,0.128654971,2
459,17K524,287,335,291,15.30%,0.54954955,2
462,17K528,403,385,388,5.10%,0.440677966,2
463,17K531,348,381,359,9.30%,0.613333333,2
466,17K533,377,404,372,2.40%,0.583333333,2
467,17K537,338,349,340,2.50%,0.504132231,2
469,17K539,362,375,368,5.30%,0.754385965,2
471,17K543,457,462,441,28.60%,0.914285714,1
474,17K544,386,391,369,2.00%,0.51,2
475,17K546,418,441,414,23.50%,0.852941176,1
478,17K547,388,382,373,7.80%,0.635658915,2
