SchoolDist,PNTCNT,rank
2,1608,HIGH
6,1036,HIGH
24,983,HIGH
11,926,HIGH
30,801,HIGH
14,598,HIGH
10,518,HIGH
8,514,HIGH
20,504,HIGH
15,469,HIGH
12,467,HIGH
13,456,MEDIUM
5,412,MEDIUM
17,411,MEDIUM
3,378,MEDIUM
29,378,MEDIUM
25,361,MEDIUM
22,360,MEDIUM
1,339,MEDIUM
27,323,MEDIUM
28,303,MEDIUM
21,256,MEDIUM
32,236,LOW
19,236,LOW
26,227,LOW
9,199,LOW
31,199,LOW
4,173,LOW
7,157,LOW
16,146,LOW
23,113,LOW
18,105,LOW
10,1,LOW
