DBN,Regents,Gradrate
16K688,NA,NA
17K382,0.06,0.543209877
17K408,0.07,0.72
17K489,0,0.128654971
17K524,0.15,0.54954955
17K528,0.05,0.440677966
17K531,0.09,0.613333333
17K533,0.02,0.583333333
17K537,0.03,0.504132231
17K539,0.05,0.754385965
17K543,0.29,0.914285714
17K544,0.02,0.51
17K546,0.24,0.852941176
17K547,0.08,0.635658915
17K548,0.06,0.681818182
17K568,0,0.247191011
17K590,0.29,0.95625
17K600,0.15,0.583700441
17K625,0.03,0.470149254
18K415,NA,NA
18K500,0.04,0.383064516
18K563,0.1,0.878504673
18K566,0.05,0.551282051
18K567,0.07,0.725806452
18K569,0.03,0.651685393
18K576,0.03,0.703703704
18K578,NA,0.112244898
18K589,0.07,0.745454545
18K617,NA,NA
18K629,NA,NA
18K635,NA,0.153846154
18K637,NA,NA
18K642,NA,NA
18K673,NA,0.102272727
19K409,0.08,0.835820896
19K420,0.05,0.448795181
19K502,0.04,0.594059406
19K504,0.04,0.628099174
19K507,0.03,0.533333333
19K510,0.06,0.639175258
19K583,0.06,0.509433962
19K615,0.14,0.761111111
19K618,NA,NA
19K639,NA,NA
19K659,0.04,0.469026549
19K660,0.02,0.456066946
19K683,NA,NA
20K445,0.24,0.694573643
20K485,0.3,0.785498489
20K490,0.27,0.646853147
20K505,0.2,0.551094891
21K337,0.07,0.370967742
21K344,0.15,0.632478632
21K348,0.1,0.644067797
21K410,0.17,0.583798883
21K525,0.41,0.71935157
21K540,0.23,0.616643929
21K559,0.14,0.783783784
21K572,NA,0.371428571
21K620,0.03,0.460992908
21K690,0.22,0.661016949
21K728,0.03,0.237113402
22K405,0.53,0.82832618
22K425,0.3,0.658402204
22K495,0.09,0.567043619
22K535,0.73,0.958015267
22K555,0.39,0.986666667
23K271,NA,NA
23K493,0.05,0.60952381
23K514,0.05,0.608695652
23K643,NA,0.134831461
23K645,0.03,0.630136986
23K646,NA,0.067961165
23K647,0,0.296703297
23K697,0.17,0.659340659
24Q264,0.22,0.863247863
24Q267,0.1,0.663157895
24Q296,0.01,0.425
24Q299,0.73,0.927272727
24Q455,0.12,0.570186335
24Q485,0.12,0.491719745
24Q550,0.12,0.751322751
24Q560,0.14,0.713043478
24Q600,0.16,0.722222222
24Q610,0.41,0.825059102
24Q744,NA,0.142857143
25Q263,0.11,0.537634409
25Q281,0.24,0.831325301
25Q285,0.25,0.875
25Q425,0.15,0.617647059
25Q460,0.14,0.556802244
25Q525,1,0.996336996
25Q540,0.03,0.203208556
25Q670,0.21,0.668421053
25Q792,NA,0.166666667
26Q415,0.49,0.83014862
26Q430,0.49,0.801199657
26Q435,0.06,0.585175553
26Q495,0.5,0.83436214
26Q566,0.17,0.822299652
27Q260,0.05,0.666666667
27Q262,0.21,0.841584158
27Q302,NA,NA
27Q323,0.82,1
27Q400,0.01,0.492857143
27Q410,0.03,0.398395722
27Q465,0.01,0.549450549
27Q475,0.08,0.489892985
27Q480,0.09,0.573170732
27Q650,0.34,0.974358974
28Q310,NA,NA
28Q338,NA,0.028846154
28Q440,0.33,0.817916261
28Q470,0.08,0.451871658
28Q505,0.13,0.683920705
28Q620,0.44,0.840836013
28Q680,0.7,0.959183673
28Q687,0.84,0.965517241
28Q690,0.03,0.76744186
28Q896,0.28,0.894736842
29Q248,0.13,0.638297872
29Q259,0.02,0.716666667
29Q265,0.06,0.684210526
29Q272,0.05,0.72972973
29Q283,0.04,0.618181818
29Q492,0.23,0.704
29Q494,0.07,0.516666667
29Q496,0.03,0.478991597
29Q498,0.04,0.719626168
30Q445,0.25,0.53342246
30Q450,0.17,0.614921781
30Q501,0.33,0.891304348
30Q502,0.14,0.685483871
30Q555,0.26,0.700404858
30Q575,0.45,0.84516129
30Q580,0.81,0.984375
31R047,0.29,0.941176471
31R064,NA,NA
31R080,0.28,0.858267717
31R440,0.17,0.723183391
31R445,0.14,0.632107023
31R450,0.14,0.687409551
31R455,0.33,0.805776892
31R460,0.31,0.792378449
31R470,0,0.277108434
31R600,0.13,0.601190476
31R605,0.98,1
32K403,0.02,0.640776699
32K545,0.11,0.579881657
32K549,0.06,0.669902913
32K552,0.08,0.577235772
32K554,0.17,1
32K556,0.04,0.47826087
32K564,NA,0.040268456
