DBN,Grade
14K018,B
14K019,
14K023,C
14K031,A
14K034,B
14K050,B
14K059,C
14K071,B
14K084,B
14K110,B
14K120,A
14K126,C
14K132,A
14K147,A
14K157,B
14K196,A
14K250,C
14K257,A
14K297,B
14K318,B
14K330,C
14K380,A
14K577,A
14K582,C
14K586,C
14K614,C
15K001,C
15K010,A
15K015,A
15K024,C
15K029,C
15K032,A
15K038,B
15K039,B
15K051,B
15K058,B
15K088,B
15K094,D
15K107,A
15K124,A
15K130,A
15K131,A
15K136,B
15K146,A
15K154,C
15K169,B
15K172,A
15K230,A
15K261,C
15K295,B
15K321,B
15K418,B
15K429,C
15K442,B
15K443,A
15K447,A
15K448,A
15K462,
15K463,
15K464,C
15K497,B
15K592,
15K676,B
15K821,A
16K005,B
16K021,B
16K025,B
16K026,B
16K028,B
16K035,A
16K040,A
16K057,C
16K081,A
16K243,B
16K262,B
16K267,A
16K308,C
16K309,C
16K335,A
16K385,B
16K393,
16K534,D
16K584,C
16K627,A
16K628,B
16K636,A
17K002,B
17K006,A
17K012,B
17K022,
17K061,C
17K091,C
17K092,D
17K138,A
17K161,F
17K167,D
17K181,C
17K189,B
17K191,B
17K221,D
17K241,B
17K246,B
17K289,B
17K316,B
17K334,D
17K340,C
17K352,C
17K353,C
17K354,A
17K375,C
17K382,C
17K394,C
17K397,C
17K398,F
17K399,B
17K484,C
17K531,A
17K533,B
17K543,B
17K587,
17K590,C
18K066,D
18K068,C
18K114,D
18K115,B
18K135,C
18K208,C
18K211,A
18K219,C
18K233,C
18K235,A
18K244,B
18K268,C
18K272,B
18K276,B
18K279,C
18K285,C
18K366,C
18K581,C
18K588,C
18K598,A
19K007,B
19K013,C
19K065,C
19K089,A
19K108,A
19K149,A
19K158,C
19K159,C
19K166,C
19K171,D
19K174,D
19K190,F
19K202,D
19K213,B
19K214,B
19K218,C
19K224,F
19K260,
19K273,D
19K290,B
19K292,C
19K302,F
19K306,C
19K311,C
19K328,C
19K345,B
19K346,C
19K364,C
19K409,A
19K452,B
19K677,F
19K678,B
20K030,B
20K048,B
20K062,B
20K069,A
20K102,B
20K104,B
20K105,B
20K112,A
20K127,B
20K160,A
20K163,A
20K164,B
20K170,A
20K176,A
20K179,C
20K180,B
20K185,A
20K186,A
20K187,A
20K192,A
20K200,C
20K201,A
20K204,B
20K205,A
20K220,B
20K223,A
20K227,B
20K229,B
20K247,A
20K259,A
20K503,B
20K506,B
20K609,B
21K090,B
21K095,B
21K096,C
21K097,B
21K098,A
21K099,A
21K100,C
21K101,A
21K121,A
21K128,B
21K153,C
21K177,B
21K188,C
21K199,B
21K209,B
21K212,B
21K215,B
21K216,C
21K225,B
21K226,A
21K228,A
21K238,C
21K239,B
21K253,A
21K281,A
21K288,A
21K303,A
21K329,B
21K468,B
21K690,A
22K014,B
22K052,C
22K078,C
22K109,B
22K119,B
22K134,A
22K139,D
22K152,B
22K193,C
22K194,B
22K195,A
22K197,B
22K198,C
22K203,B
22K206,B
22K207,B
22K217,B
22K222,A
22K234,B
22K236,B
22K240,B
22K245,A
22K251,B
22K254,B
22K255,A
22K269,C
22K277,B
22K278,B
22K312,A
22K315,C
22K381,C
22K555,C
23K041,B
23K073,F
23K137,A
23K150,C
23K155,B
23K156,C
23K165,C
23K178,C
23K184,C
23K284,D
23K298,D
23K323,B
23K327,C
23K332,
23K392,C
23K493,
23K518,B
23K522,F
23K631,
23K634,D
23K644,B
23K671,B
23K697,F
24Q005,A
24Q012,A
24Q013,A
24Q014,B
24Q016,A
24Q019,A
24Q049,B
24Q058,C
24Q061,B
24Q068,B
24Q071,D
24Q073,B
24Q077,B
24Q081,B
24Q087,B
24Q088,C
24Q089,B
24Q091,B
24Q093,B
24Q102,B
24Q113,B
24Q119,A
24Q125,A
24Q128,B
24Q143,C
24Q153,A
24Q199,A
24Q229,B
24Q239,B
24Q307,C
24Q560,C
24Q877,A
25Q020,B
25Q021,B
25Q022,A
25Q024,A
25Q025,C
25Q029,B
25Q032,A
25Q079,C
25Q107,C
25Q120,B
25Q129,A
25Q154,C
25Q163,B
25Q164,A
25Q165,B
25Q169,C
25Q184,B
25Q185,B
25Q189,B
25Q193,C
25Q194,C
25Q200,B
25Q201,B
25Q209,A
25Q214,B
25Q219,A
25Q237,A
25Q250,A
25Q252,C
25Q281,B
25Q285,B
25Q294,B
25Q499,B
26Q018,C
26Q026,B
26Q031,B
26Q041,A
26Q046,A
26Q067,B
26Q074,B
26Q094,B
26Q098,B
26Q115,B
26Q133,A
26Q158,B
26Q159,A
26Q162,B
26Q172,B
26Q173,B
26Q178,C
26Q186,A
26Q188,A
26Q191,A
26Q203,A
26Q205,A
26Q213,A
26Q216,B
26Q221,A
26Q266,B
27Q042,C
27Q043,C
27Q045,B
27Q047,B
27Q053,C
27Q056,C
27Q060,A
27Q062,C
27Q063,B
27Q064,A
27Q065,B
27Q066,A
27Q090,A
27Q096,B
27Q097,A
27Q100,C
27Q104,B
27Q105,B
27Q106,B
27Q108,B
27Q114,C
27Q123,B
27Q124,A
27Q137,C
27Q146,B
27Q155,C
27Q183,C
27Q197,D
27Q202,B
27Q207,C
27Q210,C
27Q215,
27Q223,C
27Q226,C
27Q232,B
27Q253,C
27Q254,A
27Q262,B
27Q282,A
27Q306,C
27Q309,C
27Q317,B
27Q318,C
27Q319,B
27Q323,A
27Q333,C
28Q008,C
28Q030,
28Q040,D
28Q048,C
28Q050,B
28Q054,B
28Q055,D
28Q072,C
28Q080,B
28Q082,B
28Q086,C
28Q099,A
28Q101,C
28Q117,B
28Q121,A
28Q139,B
28Q140,F
28Q144,B
28Q157,A
28Q160,C
28Q161,B
28Q167,A
28Q174,B
28Q175,B
28Q190,B
28Q196,A
28Q206,D
28Q217,B
28Q220,C
28Q284,C
28Q310,C
28Q680,B
28Q896,C
29Q015,C
29Q033,C
29Q034,B
29Q035,C
29Q036,C
29Q037,D
29Q038,B
29Q052,C
29Q059,C
29Q095,A
29Q109,B
29Q116,B
29Q118,C
29Q131,B
29Q132,D
29Q134,B
29Q135,C
29Q136,C
29Q138,D
29Q147,C
29Q156,D
29Q176,C
29Q181,C
29Q192,A
29Q195,C
29Q208,B
29Q231,
29Q238,C
29Q259,C
29Q268,C
29Q270,B
29Q283,B
29Q295,C
29Q327,C
29Q355,
29Q356,
30Q002,B
30Q010,B
30Q011,A
30Q017,C
30Q069,A
30Q070,C
30Q076,B
30Q078,A
30Q084,C
30Q085,C
30Q092,A
30Q111,B
30Q112,A
30Q122,A
30Q126,A
30Q127,C
30Q141,A
30Q145,B
30Q148,B
30Q149,A
30Q150,A
30Q151,C
30Q152,A
30Q166,A
30Q171,C
30Q204,B
