DBN,School Name,Cohort Year,Total Cohort Num,Total Grads Num,Pct of cohort achieving APM,pct grad 
31R080,THE MICHAEL J PETRIDES SCHOOL,2006,113,100,39.80%,0.884955752
31R080,THE MICHAEL J PETRIDES SCHOOL,2007,127,109,28.30%,0.858267717
31R440,NEW DORP HIGH SCHOOL,2006,509,375,20.20%,0.736738703
31R440,NEW DORP HIGH SCHOOL,2007,578,418,16.60%,0.723183391
31R445,PORT RICHMOND HIGH SCHOOL,2006,519,330,15.40%,0.63583815
31R445,PORT RICHMOND HIGH SCHOOL,2007,598,378,13.70%,0.632107023
31R450,CURTIS HIGH SCHOOL,2006,649,449,20.30%,0.69183359
31R450,CURTIS HIGH SCHOOL,2007,691,475,14.00%,0.687409551
31R455,TOTTENVILLE HIGH SCHOOL,2006,"1,069",877,31.10%,0.820392891
31R455,TOTTENVILLE HIGH SCHOOL,2007,"1,004",809,33.30%,0.805776892
31R460,SUSAN E WAGNER HIGH SCHOOL,2006,912,692,31.50%,0.75877193
31R460,SUSAN E WAGNER HIGH SCHOOL,2007,761,603,30.90%,0.792378449
31R470,CONCORD HIGH SCHOOL,2006,52,18,s,0.346153846
31R470,CONCORD HIGH SCHOOL,2007,83,23,0.00%,0.277108434
31R600,RALPH R MCKEE CAREER AND TECHNICAL HIGH SCHOOL,2006,175,97,9.10%,0.554285714
31R600,RALPH R MCKEE CAREER AND TECHNICAL HIGH SCHOOL,2007,168,101,12.50%,0.601190476
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,2006,288,287,97.90%,0.996527778
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,2007,210,210,97.60%,1
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,2006,99,66,6.10%,0.666666667
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,2007,103,66,1.90%,0.640776699
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE,2006,161,101,9.30%,0.627329193
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE,2007,169,98,10.70%,0.579881657
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,2006,97,74,7.20%,0.762886598
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,2007,103,69,5.80%,0.669902913
32K552,ACADEMY OF URBAN PLANNING,2006,115,55,3.50%,0.47826087
32K552,ACADEMY OF URBAN PLANNING,2007,123,71,8.10%,0.577235772
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,2006,43,36,20.90%,0.837209302
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,2007,35,35,17.10%,1
32K556,BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE,2006,117,65,6.00%,0.555555556
32K556,BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE,2007,138,66,3.60%,0.47826087
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,2006,128,10,s,0.078125
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,2007,149,6,s,0.040268456
