DBN,School Name,Cohort Year,Total Cohort Num,Total Grads Num,Pct of cohort achieving APM,pct grad 
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,2007,117,74,14.50%,0.632478632
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,2006,65,49,10.80%,0.753846154
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,2007,59,38,10.20%,0.644067797
21K400,LAFAYETTE HIGH SCHOOL,2006,65,31,9.20%,0.476923077
21K410,ABRAHAM LINCOLN HIGH SCHOOL,2006,620,354,15.20%,0.570967742
21K410,ABRAHAM LINCOLN HIGH SCHOOL,2007,716,418,16.90%,0.583798883
21K525,EDWARD R MURROW HIGH SCHOOL,2006,938,702,40.10%,0.748400853
21K525,EDWARD R MURROW HIGH SCHOOL,2007,987,710,40.50%,0.71935157
21K540,JOHN DEWEY HIGH SCHOOL,2006,603,347,20.70%,0.575456053
21K540,JOHN DEWEY HIGH SCHOOL,2007,733,452,23.30%,0.616643929
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,2006,1,0,s,0
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,2007,37,29,13.50%,0.783783784
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADER,2006,3,0,s,0
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADER,2007,35,13,s,0.371428571
21K620,WILLIAM E GRADY CAREER AND TECHNICAL EDUCATION HIG,2006,281,119,3.20%,0.423487544
21K620,WILLIAM E GRADY CAREER AND TECHNICAL EDUCATION HIG,2007,282,130,2.80%,0.460992908
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,2006,140,95,24.30%,0.678571429
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,2007,177,117,22.00%,0.661016949
21K728,LIBERATION DIPLOMA PLUS,2006,65,17,s,0.261538462
21K728,LIBERATION DIPLOMA PLUS,2007,97,23,3.10%,0.237113402
22K405,MIDWOOD HIGH SCHOOL,2006,872,757,57.90%,0.868119266
22K405,MIDWOOD HIGH SCHOOL,2007,932,772,53.40%,0.82832618
22K425,JAMES MADISON HIGH SCHOOL,2006,"1,076",713,30.50%,0.662639405
22K425,JAMES MADISON HIGH SCHOOL,2007,726,478,29.60%,0.658402204
22K495,SHEEPSHEAD BAY HIGH SCHOOL,2006,537,311,6.70%,0.579143389
22K495,SHEEPSHEAD BAY HIGH SCHOOL,2007,619,351,8.60%,0.567043619
22K535,LEON M GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,2006,253,244,80.20%,0.964426877
22K535,LEON M GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,2007,262,251,72.90%,0.958015267
22K555,BROOKLYN COLLEGE ACADEMY,2006,120,115,33.30%,0.958333333
22K555,BROOKLYN COLLEGE ACADEMY,2007,150,148,39.30%,0.986666667
22K585,BROOKLYN COMPREHENSIVE NIGHT HIG,2006,1,0,s,0
23K271,JOHN M. COLEMAN SCHOOL,2006,1,0,s,0
23K271,JOHN M. COLEMAN SCHOOL,2007,2,0,s,0
23K493,BROOKLYN COLLEGIATE-A COLLEGE BOARD SCHOOL,2006,70,44,8.60%,0.628571429
23K493,BROOKLYN COLLEGIATE-A COLLEGE BOARD SCHOOL,2007,105,64,4.80%,0.60952381
23K514,FREDERICK DOUGLAS ACADEMY VII HIGH SCHOOL,2006,92,65,7.60%,0.706521739
23K514,FREDERICK DOUGLAS ACADEMY VII HIGH SCHOOL,2007,92,56,5.40%,0.608695652
23K643,BROOKLYN DEMOCRACY ACADEMY,2006,97,26,1.00%,0.268041237
23K643,BROOKLYN DEMOCRACY ACADEMY,2007,89,12,s,0.134831461
23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,2006,93,52,3.20%,0.559139785
23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,2007,73,46,2.70%,0.630136986
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,2006,117,16,s,0.136752137
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,2007,103,7,s,0.067961165
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,2006,97,22,2.10%,0.226804124
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,2007,91,27,0.00%,0.296703297
23K697,TEACHERS PREPERATORY HIGH SCHOOL,2006,99,72,24.20%,0.727272727
23K697,TEACHERS PREPERATORY HIGH SCHOOL,2007,91,60,16.50%,0.659340659
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,2006,90,81,13.30%,0.9
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,2007,117,101,22.20%,0.863247863
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATIONS,2006,101,81,11.90%,0.801980198
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATIONS,2007,95,63,9.50%,0.663157895
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,2006,1,0,s,0
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,2007,80,34,1.30%,0.425
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,2006,50,48,52.00%,0.96
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,2007,55,51,72.70%,0.927272727
24Q455,NEWTOWN HIGH SCHOOL,2006,773,382,11.00%,0.494178525
24Q455,NEWTOWN HIGH SCHOOL,2007,805,459,11.60%,0.570186335
24Q485,GROVER CLEVELAND HIGH SCHOOL,2006,703,381,15.60%,0.541963016
24Q485,GROVER CLEVELAND HIGH SCHOOL,2007,785,386,12.20%,0.491719745
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,2006,187,126,9.60%,0.673796791
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,2007,189,142,12.20%,0.751322751
24Q560,ROBERT F WAGNER JR SECONDARY SCHOOL-ARTS AND TECHN,2006,95,59,23.20%,0.621052632
24Q560,ROBERT F WAGNER JR SECONDARY SCHOOL-ARTS AND TECHN,2007,115,82,13.90%,0.713043478
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,2006,271,192,10.70%,0.708487085
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,2007,270,195,15.60%,0.722222222
24Q610,AVIATION CAREER AND TECHNICAL HIGH SCHOOL,2006,368,274,34.50%,0.744565217
24Q610,AVIATION CAREER AND TECHNICAL HIGH SCHOOL,2007,423,349,41.10%,0.825059102
24Q744,VOYAGES PREPARATORY,2006,85,10,s,0.117647059
24Q744,VOYAGES PREPARATORY,2007,98,14,s,0.142857143
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,2006,86,51,9.30%,0.593023256
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,2007,93,50,10.80%,0.537634409
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,2006,75,64,21.30%,0.853333333
25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,2007,83,69,24.10%,0.831325301
25Q285,WORLD JOURNALISM PREPARATORY,2006,82,71,11.00%,0.865853659
25Q285,WORLD JOURNALISM PREPARATORY,2007,72,63,25.00%,0.875
25Q425,JOHN BOWNE HIGH SCHOOL,2006,688,386,10.60%,0.561046512
25Q425,JOHN BOWNE HIGH SCHOOL,2007,714,441,14.70%,0.617647059
