SchoolDist,PNTCNT,rank
2,41702,HIGH
6,14026,HIGH
3,10377,HIGH
14,9917,HIGH
30,8821,HIGH
1,7952,HIGH
13,7890,HIGH
15,7240,HIGH
10,6364,HIGH
17,5986,HIGH
31,5345,HIGH
22,5074,MEDIUM
24,5035,MEDIUM
5,5000,MEDIUM
20,4537,MEDIUM
28,4327,MEDIUM
9,4122,MEDIUM
27,4017,MEDIUM
21,3593,MEDIUM
11,3392,MEDIUM
32,3311,MEDIUM
29,2877,MEDIUM
25,2873,LOW
4,2755,LOW
12,2656,LOW
8,2223,LOW
19,1994,LOW
16,1661,LOW
18,1479,LOW
26,1447,LOW
7,1407,LOW
23,682,LOW
10,165,LOW
