District,Attendance
1,0.91
2,0.89
3,0.89
4,0.91
5,0.89
6,0.91
7,0.87
8,0.87
9,0.89
10,0.89
11,0.90
12,0.87
13,0.90
14,0.89
15,0.91
16,0.86
17,0.90
18,0.90
19,0.88
20,0.93
21,0.91
22,0.93
23,0.87
24,0.92
25,0.92
26,0.93
27,0.90
28,0.92
29,0.92
30,0.93
31,0.91
32,0.89
75,0.83
