DBN,SAT,REGENTS,CLUSTER,GRADE,GRADRATE
09X241,HIGH,HIGH,MED,B,HIGH
09X241,HIGH,HIGH,MED,A,HIGH
09X250,MED,HIGH,LOW,B,MED
09X252,LOW,MED,LOW,B,HIGH
09X260,HIGH,HIGH,MED,A,HIGH
09X263,LOW,LOW,LOW,B,MED
09X276,LOW,MED,LOW,D,MED
09X297,MED,MED,LOW,B,MED
09X329,MED,LOW,LOW,B,LOW
09X365,LOW,MED,LOW,A,MED
09X403,LOW,MED,LOW,A,MED
09X404,LOW,MED,LOW,A,MED
09X412,LOW,LOW,LOW,C,LOW
09X413,HIGH,HIGH,MED,B,HIGH
09X413,HIGH,HIGH,MED,B,HIGH
09X414,LOW,LOW,LOW,D,LOW
09X505,HIGH,MED,LOW,C,MED
09X505,HIGH,MED,LOW,B,MED
09X517,LOW,MED,LOW,,HIGH
09X517,LOW,MED,LOW,B,HIGH
09X525,MED,MED,LOW,B,MED
09X543,LOW,LOW,LOW,B,MED
10X141,HIGH,HIGH,MED,B,HIGH
10X141,HIGH,HIGH,MED,B,HIGH
10X213,MED,MED,LOW,B,MED
10X225,MED,HIGH,MED,B,HIGH
10X225,MED,HIGH,MED,C,HIGH
10X237,MED,LOW,LOW,C,MED
10X243,MED,MED,LOW,C,MED
10X243,MED,MED,LOW,D,MED
10X268,LOW,MED,LOW,B,MED
10X284,MED,MED,LOW,B,MED
10X319,<NA>,<NA>,<NA>,B,LOW
10X342,LOW,LOW,LOW,A,MED
10X342,LOW,LOW,LOW,A,MED
10X368,MED,HIGH,LOW,C,MED
10X368,MED,HIGH,LOW,B,MED
10X374,MED,HIGH,MED,B,HIGH
10X397,LOW,<NA>,<NA>,C,LOW
10X433,LOW,HIGH,LOW,B,MED
10X434,HIGH,LOW,LOW,B,MED
10X437,LOW,LOW,LOW,A,HIGH
10X438,LOW,LOW,LOW,F,LOW
10X439,LOW,LOW,LOW,C,LOW
10X440,HIGH,MED,LOW,F,LOW
10X442,HIGH,LOW,MED,B,HIGH
10X445,HIGH,HIGH,HIGH,A,HIGH
10X475,LOW,LOW,LOW,,LOW
10X477,HIGH,HIGH,MED,A,HIGH
10X495,<NA>,<NA>,<NA>,<NA>,<NA>
10X524,<NA>,<NA>,<NA>,,<NA>
10X546,LOW,LOW,LOW,B,MED
10X549,LOW,MED,LOW,A,MED
10X660,LOW,LOW,LOW,,LOW
10X696,HIGH,HIGH,HIGH,A,HIGH
11X249,MED,MED,LOW,<NA>,HIGH
11X253,MED,LOW,LOW,C,MED
11X265,MED,MED,LOW,B,MED
11X270,MED,LOW,LOW,B,LOW
11X270,MED,LOW,LOW,,LOW
11X275,LOW,MED,LOW,A,HIGH
11X288,HIGH,HIGH,MED,B,HIGH
11X290,MED,MED,LOW,A,MED
11X299,MED,MED,LOW,B,MED
11X415,LOW,LOW,LOW,,LOW
11X418,HIGH,MED,LOW,C,MED
11X455,MED,LOW,LOW,A,MED
11X488,<NA>,<NA>,<NA>,<NA>,<NA>
11X508,<NA>,<NA>,<NA>,,<NA>
11X509,<NA>,<NA>,<NA>,,<NA>
11X513,LOW,HIGH,LOW,A,LOW
11X514,LOW,LOW,LOW,C,LOW
11X541,MED,MED,LOW,,MED
11X542,HIGH,HIGH,MED,B,HIGH
11X544,MED,HIGH,LOW,B,MED
11X545,MED,LOW,LOW,A,HIGH
12X245,LOW,<NA>,<NA>,,<NA>
12X245,LOW,<NA>,<NA>,,<NA>
12X248,LOW,LOW,LOW,A,MED
12X251,LOW,LOW,LOW,A,MED
12X262,LOW,<NA>,<NA>,,LOW
12X267,HIGH,MED,MED,A,HIGH
12X267,HIGH,MED,MED,A,HIGH
12X271,LOW,MED,LOW,B,MED
12X271,LOW,MED,LOW,B,MED
12X278,MED,MED,LOW,D,LOW
12X388,LOW,<NA>,<NA>,A,LOW
12X446,LOW,<NA>,<NA>,B,LOW
12X478,<NA>,<NA>,<NA>,,<NA>
12X479,<NA>,<NA>,<NA>,,<NA>
12X480,MED,LOW,LOW,F,LOW
12X482,<NA>,<NA>,<NA>,<NA>,<NA>
12X511,<NA>,<NA>,<NA>,,<NA>
12X521,<NA>,<NA>,<NA>,,<NA>
12X550,LOW,LOW,LOW,B,MED
12X682,LOW,<NA>,<NA>,B,<NA>
12X684,LOW,<NA>,<NA>,C,<NA>
12X690,MED,LOW,LOW,,LOW
12X692,LOW,MED,LOW,C,LOW
13K265,LOW,MED,LOW,B,HIGH
13K265,LOW,MED,LOW,B,HIGH
13K336,HIGH,<NA>,<NA>,,LOW
13K336,HIGH,<NA>,<NA>,,LOW
13K350,LOW,LOW,LOW,B,LOW
13K412,LOW,MED,LOW,B,MED
13K419,MED,MED,LOW,B,HIGH
13K430,HIGH,HIGH,HIGH,B,HIGH
13K439,LOW,<NA>,<NA>,A,<NA>
13K483,MED,HIGH,MED,A,HIGH
13K499,LOW,LOW,LOW,B,MED
13K509,MED,LOW,LOW,F,LOW
13K553,MED,<NA>,<NA>,A,LOW
13K575,MED,<NA>,<NA>,C,LOW
13K595,HIGH,HIGH,MED,A,HIGH
13K605,MED,LOW,LOW,C,MED
13K616,<NA>,<NA>,<NA>,B,LOW
13K670,HIGH,HIGH,MED,B,HIGH
13K674,HIGH,<NA>,<NA>,,<NA>
14K071,LOW,LOW,LOW,C,LOW
14K071,LOW,LOW,LOW,B,LOW
14K322,<NA>,LOW,<NA>,F,LOW
14K404,MED,LOW,LOW,<NA>,HIGH
14K449,HIGH,HIGH,HIGH,B,HIGH
14K454,MED,LOW,LOW,B,MED
14K474,LOW,LOW,LOW,B,MED
14K477,MED,MED,LOW,C,MED
14K478,HIGH,HIGH,MED,B,HIGH
14K488,LOW,MED,LOW,A,HIGH
14K558,LOW,LOW,LOW,A,HIGH
14K561,MED,MED,MED,A,HIGH
14K586,LOW,LOW,LOW,C,MED
14K586,LOW,LOW,LOW,B,MED
14K610,LOW,LOW,LOW,C,LOW
14K632,LOW,<NA>,<NA>,A,LOW
14K685,LOW,<NA>,<NA>,A,<NA>
14K693,<NA>,<NA>,<NA>,<NA>,<NA>
14K694,<NA>,<NA>,<NA>,<NA>,<NA>
15K423,<NA>,<NA>,<NA>,,<NA>
15K429,LOW,<NA>,<NA>,C,<NA>
15K429,LOW,<NA>,<NA>,B,<NA>
15K448,MED,<NA>,<NA>,A,<NA>
15K448,MED,<NA>,<NA>,A,<NA>
15K462,MED,HIGH,LOW,C,HIGH
15K462,MED,HIGH,LOW,,HIGH
15K463,MED,LOW,LOW,,MED
15K463,MED,LOW,LOW,C,MED
15K464,MED,LOW,LOW,C,MED
15K464,MED,LOW,LOW,C,MED
15K497,MED,MED,LOW,B,MED
15K497,MED,MED,LOW,B,MED
15K519,MED,LOW,LOW,B,MED
15K520,LOW,<NA>,<NA>,,LOW
15K529,<NA>,<NA>,<NA>,A,LOW
15K530,LOW,LOW,LOW,,MED
15K656,HIGH,MED,MED,C,HIGH
15K667,<NA>,<NA>,<NA>,,LOW
15K684,<NA>,<NA>,<NA>,,<NA>
15K698,HIGH,<NA>,<NA>,C,LOW
15K707,<NA>,<NA>,<NA>,<NA>,<NA>
15K730,<NA>,<NA>,<NA>,<NA>,<NA>
16K393,LOW,LOW,LOW,D,LOW
16K393,LOW,LOW,LOW,,LOW
16K455,LOW,LOW,LOW,F,LOW
16K498,LOW,LOW,LOW,A,HIGH
16K594,LOW,<NA>,<NA>,B,<NA>
16K688,<NA>,<NA>,<NA>,,LOW
17K122,<NA>,<NA>,<NA>,,<NA>
17K382,MED,MED,LOW,C,MED
17K382,MED,MED,LOW,B,MED
17K408,LOW,MED,LOW,C,HIGH
17K489,LOW,LOW,LOW,C,LOW
17K524,LOW,MED,LOW,A,MED
17K528,MED,LOW,LOW,C,LOW
17K531,LOW,MED,LOW,A,MED
17K531,LOW,MED,LOW,A,MED
17K533,MED,LOW,LOW,B,MED
17K533,MED,LOW,LOW,C,MED
17K537,LOW,LOW,LOW,A,LOW
17K539,LOW,LOW,LOW,A,HIGH
17K543,HIGH,HIGH,MED,A,HIGH
17K543,HIGH,HIGH,MED,B,HIGH
17K544,MED,LOW,LOW,,LOW
17K546,HIGH,HIGH,MED,A,HIGH
17K547,MED,MED,LOW,C,MED
17K548,MED,MED,LOW,B,MED
17K568,LOW,LOW,LOW,A,LOW
17K590,HIGH,HIGH,MED,C,HIGH
17K590,HIGH,HIGH,MED,B,HIGH
17K600,HIGH,MED,LOW,C,MED
17K625,LOW,LOW,LOW,,LOW
17K726,<NA>,<NA>,<NA>,<NA>,<NA>
17K780,<NA>,<NA>,<NA>,<NA>,<NA>
18K563,LOW,MED,LOW,A,HIGH
18K566,MED,LOW,LOW,C,MED
18K567,LOW,MED,LOW,C,HIGH
18K569,LOW,LOW,LOW,A,MED
18K576,MED,LOW,LOW,A,HIGH
18K578,LOW,<NA>,<NA>,B,LOW
18K589,LOW,MED,LOW,C,HIGH
18K617,MED,<NA>,<NA>,C,LOW
18K629,MED,<NA>,<NA>,B,LOW
18K633,MED,<NA>,<NA>,A,<NA>
18K635,MED,<NA>,<NA>,C,LOW
18K637,LOW,<NA>,<NA>,C,LOW
18K642,MED,<NA>,<NA>,C,LOW
18K673,MED,<NA>,<NA>,B,LOW
18K737,<NA>,<NA>,<NA>,<NA>,<NA>
18K792,<NA>,<NA>,<NA>,<NA>,<NA>
19K409,HIGH,MED,MED,A,HIGH
19K409,HIGH,MED,MED,C,HIGH
19K420,<NA>,LOW,<NA>,,LOW
