DBN,SAT,Regents,Gradrate
11X513,1048,0.2,0.482142857
11X514,1112,0,0.382352941
11X541,1129,0.06,0.563106796
11X542,1288,0.21,0.91509434
11X544,1126,0.23,0.598130841
11X545,1163,0.04,0.777777778
12X245,1046,NA,NA
12X248,1055,0.04,0.679012346
12X251,1122,0.03,0.611111111
12X262,1074,NA,0.115789474
12X267,1251,0.15,0.775
12X271,1102,0.06,0.7
12X278,1155,0.07,0.428571429
12X388,970,NA,NA
12X446,1101,NA,0.029411765
12X480,1181,0.03,0.183544304
12X550,939,0.03,0.525773196
12X682,1029,NA,NA
12X684,1114,NA,NA
12X690,1138,0.02,0.333333333
12X692,1038,0.06,0.38317757
13K265,1074,0.11,0.777777778
13K336,1231,NA,NA
13K350,1080,0.05,0.494252874
13K412,1114,0.07,0.576923077
13K419,1211,0.14,0.717948718
13K430,1833,0.91,0.928063943
13K439,981,NA,NA
13K483,1206,0.24,0.863636364
13K499,1116,0.02,0.66091954
13K509,1193,0.02,0.473684211
13K553,1197,NA,0.137931034
13K575,1183,NA,0.102941176
13K595,1312,0.4,0.966666667
13K605,1189,0.03,0.534246575
13K616,NA,NA,0.081395349
13K670,1391,0.46,0.901234568
13K674,1353,NA,NA
14K071,1085,0.05,0.404040404
14K322,NA,0.04,0.465753425
14K404,1125,0.05,0.818181818
14K449,1740,0.91,0.914285714
14K454,1189,0.04,0.511627907
14K474,1114,0.05,0.553488372
14K477,1204,0.08,0.647398844
14K478,1215,0.17,0.799065421
14K488,1090,0.06,0.716049383
14K558,1112,0.04,0.87254902
14K561,1187,0.12,0.873873874
14K586,1103,0.03,0.604395604
14K610,1093,0,0.493775934
14K632,1122,NA,NA
14K685,1035,NA,NA
15K429,1111,NA,NA
15K448,1179,NA,NA
15K462,1203,0.16,0.718446602
15K463,1169,0.05,0.564356436
15K464,1175,0.05,0.535714286
15K497,1212,0.12,0.551724138
15K519,1185,0.04,0.534722222
15K520,993,NA,0.147368421
15K529,NA,NA,0.138613861
15K530,1101,0.04,0.56302521
15K656,1258,0.13,0.8125
15K667,NA,NA,NA
15K698,1271,NA,0.160493827
16K393,1068,0.05,0.492063492
16K455,1097,0.03,0.380208333
16K498,1092,0.03,0.717948718
16K594,1093,NA,NA
16K688,NA,NA,NA
17K382,1139,0.06,0.543209877
17K408,1045,0.07,0.72
17K489,1092,0,0.128654971
17K524,913,0.15,0.54954955
17K528,1176,0.05,0.440677966
17K531,1088,0.09,0.613333333
17K533,1153,0.02,0.583333333
17K537,1027,0.03,0.504132231
17K539,1105,0.05,0.754385965
17K543,1360,0.29,0.914285714
17K544,1146,0.02,0.51
17K546,1273,0.24,0.852941176
17K547,1143,0.08,0.635658915
17K548,1151,0.06,0.681818182
17K568,1063,0,0.247191011
17K590,1436,0.29,0.95625
17K600,1251,0.15,0.583700441
17K625,1083,0.03,0.470149254
18K563,963,0.1,0.878504673
18K566,1145,0.05,0.551282051
18K567,1118,0.07,0.725806452
18K569,1092,0.03,0.651685393
18K576,1143,0.03,0.703703704
18K578,1097,NA,0.112244898
18K589,1080,0.07,0.745454545
18K617,1183,NA,NA
18K629,1169,NA,NA
18K633,1159,NA,NA
18K635,1140,NA,0.153846154
18K637,1111,NA,NA
